selTournament with changing tournsizes
Tournament Size, Area
2,87993.000000
3,63242.000000
4,94224.000000
5,92386.000000
6,93289.000000
7,104414.000000
8,85252.000000
9,56666.000000
10,86053.000000
11,125765.000000
12,108522.000000
13,66468.000000
14,106033.000000
15,120110.000000
16,96924.000000
17,97670.000000
18,70809.000000
19,130027.000000
20,54134.000000
21,61917.000000
22,104063.000000
23,102659.000000
24,98296.000000
25,153979.000000
