,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,
Driver,63347.800000,65952.200000,60439.000000,61103.200000,60399.800000,62287.100000,61807.200000,60345.200000,58259.100000,55448.500000,55968.700000,57399.300000,56459.300000,60287.700000,61437.000000,57519.200000,58033.600000,56033.000000,56843.900000,59538.500000,57993.900000,57564.100000,58392.800000,55960.500000,55993.700000,56962.100000,58426.600000,59952.200000,55834.500000,56552.000000,59509.000000,58100.300000,56322.700000,53212.100000,54933.600000,54469.000000,54212.800000,53999.800000,55885.300000,55556.100000,
