sim_anneal_select with changing tournament size and annealing rate
Tournament Size, Annealing Rate, Area
26.000000,0.150000,38557.000000
26.000000,0.200000,41418.000000
26.000000,0.250000,40947.000000
26.000000,0.300000,41615.000000
26.000000,0.350000,49909.000000
26.000000,0.400000,43180.000000
26.000000,0.450000,56198.000000
26.000000,0.500000,44065.000000
26.000000,0.550000,36568.000000
26.000000,0.600000,41576.000000
26.000000,0.650000,48656.000000
26.000000,0.700000,44228.000000
26.000000,0.750000,35727.000000
26.000000,0.800000,52728.000000
26.000000,0.850000,45770.000000
26.000000,0.900000,65929.000000
26.000000,0.950000,44964.000000
27.000000,0.000000,47427.000000
27.000000,0.050000,47427.000000
27.000000,0.100000,76045.000000
27.000000,0.150000,52638.000000
27.000000,0.200000,59149.000000
27.000000,0.250000,60402.000000
27.000000,0.300000,46436.000000
27.000000,0.350000,48816.000000
27.000000,0.400000,41596.000000
27.000000,0.450000,43080.000000
27.000000,0.500000,55339.000000
27.000000,0.550000,53514.000000
27.000000,0.600000,47573.000000
27.000000,0.650000,48666.000000
27.000000,0.700000,44212.000000
27.000000,0.750000,49151.000000
27.000000,0.800000,38709.000000
27.000000,0.850000,50944.000000
27.000000,0.900000,49606.000000
27.000000,0.950000,49019.000000
28.000000,0.000000,64600.000000
28.000000,0.050000,42906.000000
28.000000,0.100000,42965.000000
28.000000,0.150000,42807.000000
28.000000,0.200000,47386.000000
28.000000,0.250000,37076.000000
28.000000,0.300000,38666.000000
28.000000,0.350000,57378.000000
28.000000,0.400000,43466.000000
28.000000,0.450000,42020.000000
28.000000,0.500000,38916.000000
28.000000,0.550000,44914.000000
28.000000,0.600000,37404.000000
28.000000,0.650000,42875.000000
28.000000,0.700000,50660.000000
28.000000,0.750000,47293.000000
28.000000,0.800000,56068.000000
28.000000,0.850000,40422.000000
28.000000,0.900000,40979.000000
28.000000,0.950000,48710.000000
29.000000,0.000000,47123.000000
29.000000,0.050000,44529.000000
29.000000,0.100000,39908.000000
29.000000,0.150000,44519.000000
29.000000,0.200000,61256.000000
29.000000,0.250000,51734.000000
29.000000,0.300000,49677.000000
29.000000,0.350000,58998.000000
29.000000,0.400000,51218.000000
29.000000,0.450000,44305.000000
29.000000,0.500000,35325.000000
29.000000,0.550000,33606.000000
29.000000,0.600000,58713.000000
29.000000,0.650000,51278.000000
29.000000,0.700000,43150.000000
29.000000,0.750000,40419.000000
29.000000,0.800000,54607.000000
29.000000,0.850000,49465.000000
29.000000,0.900000,42921.000000
29.000000,0.950000,47430.000000
30.000000,0.000000,45427.000000
30.000000,0.050000,45427.000000
30.000000,0.100000,45427.000000
30.000000,0.150000,43833.000000
30.000000,0.200000,50088.000000
30.000000,0.250000,42606.000000
30.000000,0.300000,41761.000000
30.000000,0.350000,36597.000000
30.000000,0.400000,55755.000000
30.000000,0.450000,48056.000000
30.000000,0.500000,33290.000000
30.000000,0.550000,35420.000000
30.000000,0.600000,47742.000000
30.000000,0.650000,32797.000000
30.000000,0.700000,33345.000000
30.000000,0.750000,47385.000000
30.000000,0.800000,44730.000000
30.000000,0.850000,44960.000000
30.000000,0.900000,38629.000000
30.000000,0.950000,39149.000000
